Pre Week 11

Team                1       2       3       4       5       6       7       8       9       10      Playoffs    
FANtasy             89.10%  7.68%   2.21%   0.83%   0.16%   0.01%   0.00%   0.00%   0.00%   0.00%   99.83%      
Emily's Team        5.02%   27.33%  26.40%  17.64%  11.12%  8.91%   3.60%   0.00%   0.00%   0.00%   76.38%      
Run CMC             2.67%   30.38%  24.85%  20.51%  11.71%  6.67%   3.23%   0.00%   0.00%   0.00%   78.40%      
League is Rigged    3.00%   22.27%  20.24%  21.52%  15.50%  11.57%  5.88%   0.01%   0.00%   0.00%   67.03%      
Adam's Team         0.12%   6.53%   11.85%  14.84%  21.44%  23.53%  21.55%  0.14%   0.00%   0.00%   33.34%      
James's Team        0.08%   4.22%   9.89%   16.11%  24.22%  26.90%  18.32%  0.26%   0.00%   0.00%   30.30%      
Eat Lobster!        0.01%   1.59%   4.55%   8.56%   15.85%  22.32%  46.49%  0.61%   0.01%   0.00%   14.71%      
Daniel's Team       0.00%   0.00%   0.00%   0.00%   0.00%   0.10%   0.75%   56.21%  27.82%  15.13%  0.00%       
Kyle's Team         0.00%   0.00%   0.00%   0.00%   0.00%   0.00%   0.12%   24.83%  41.19%  33.86%  0.00%       
Christian's Team    0.00%   0.00%   0.00%   0.00%   0.00%   0.00%   0.07%   17.93%  30.99%  51.01%  0.00%    

--I lose week 11--

Team                1       2       3       4       5       6       7       8       9       10      Playoffs    
FANtasy             88.89%  7.85%   2.43%   0.69%   0.14%   0.00%   0.00%   0.00%   0.00%   0.00%   99.86%      
Emily's Team        5.30%   25.36%  29.15%  17.69%  10.78%  8.38%   3.33%   0.01%   0.00%   0.00%   77.52%      
Run CMC             5.32%   47.72%  25.32%  13.09%  5.70%   2.17%   0.68%   0.00%   0.00%   0.00%   91.44%      
League is Rigged    0.24%   7.74%   16.76%  26.77%  21.62%  17.41%  9.43%   0.04%   0.00%   0.00%   51.50%      
Adam's Team         0.15%   6.08%   11.59%  16.91%  21.16%  22.88%  21.10%  0.12%   0.00%   0.00%   34.73%      
James's Team        0.08%   3.56%   10.41%  16.25%  23.96%  27.28%  18.20%  0.24%   0.01%   0.00%   30.31%      
Eat Lobster!        0.01%   1.69%   4.35%   8.59%   16.63%  21.82%  46.23%  0.68%   0.01%   0.00%   14.64%      
Daniel's Team       0.00%   0.00%   0.00%   0.00%   0.00%   0.06%   0.79%   55.66%  28.48%  15.01%  0.00%       
Kyle's Team         0.00%   0.00%   0.00%   0.00%   0.00%   0.01%   0.20%   24.95%  41.07%  33.77%  0.00%       
Christian's Team    0.00%   0.00%   0.00%   0.00%   0.00%   0.00%   0.05%   18.29%  30.44%  51.22%  0.00% 


--And I win week 12,13,14--
